idVia;nombreOriginal;tipoUso;nombreVia;distMaxExclusBici;longitud;palabrasClave;carrilExclusBici;municipio
560600;Palos de la Frontera;CICLOCALLES; PALOS DE LA FRONTERA;298,75623300200;298.756233;PALOS FRONTERA;1;Madrid
158600;Cava Alta;CICLOCALLES; CAVA ALTA;193,85804659900;193.8580466;CAVA ALTA;1;Madrid
596300;Pintor Rosales;CICLOCALLES; PINTOR ROSALES;503,99345505900;503.99345506000003;PINTOR ROSALES;1;Madrid
523800;P? Moret;CICLOCALLES; PLAZA MORET;554,43685686100;554.43685686;MORET;1;Madrid
523800;P? Moret;CICLOCALLES; PLAZA MORET;425,29511490100;425.2951149;MORET;1;Madrid
449000;Luisa Fernanda;CICLOCALLES; LUISA FERNANDA;314,36302313900;314.36302314;LUISA FERNANDA;1;Madrid
290400;Felipe IV;CICLOCALLES; FELIPE IV;369,01443931100;369.01443931;FELIPE IV;1;Madrid
489700;MartÝn de los Heros;CICLOCALLES; MARTÍN DE LOS HEROS;1189,53997440000;1189.5399744;MARTÍN HEROS;1;Madrid
273600;Pza. Espa±a;CICLOCALLES; PLAZA ESPAÑA;244,32468011400;244.32468011;ESPAÑA;1;Madrid
610000;Princesa;CICLOCALLES; PRINCESA;1444,15708861000;1444.1570886099998;PRINCESA;1;Madrid
610000;Princesa;CICLOCALLES; PRINCESA;1338,33235540000;1338.3323553999999;PRINCESA;1;Madrid
623700;Quintana;CICLOCALLES; QUINTANA;446,56058226000;446.56058226;QUINTANA;1;Madrid
710500;Serrano Jover;CICLOCALLES; SERRANO JOVER;164,23510849000;164.23510849000002;SERRANO JOVER;1;Madrid
661700;San Bernardo;CICLOCALLES; SAN BERNARDO;987,32092673200;987.32092673;SAN BERNARDO;1;Madrid
661700;San Bernardo;CICLOCALLES; SAN BERNARDO;988,43260161800;988.43260162;SAN BERNARDO;1;Madrid
467700;Manuela Malasa±a;CICLOCALLES; MANUELA MALASAÑA;319,46922086300;319.46922086;MANUELA MALASAÑA;1;Madrid
694000;Sta. Cruz de Marcenado;CICLOCALLES; SANTA CRUZ DE MARCENADO;711,04956738600;711.04956739;SANTA CRUZ MARCENADO;1;Madrid
308800;Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;222,01697924100;222.01697923999998;FRANCISCO ROJAS;1;Madrid
308800;Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;230,17675309100;230.17675309;FRANCISCO ROJAS;1;Madrid
500000;MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;133,50477174500;133.50477175;MEJÍA LEQUERICA;1;Madrid
500000;MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;327,44984617400;327.44984617;MEJÍA LEQUERICA;1;Madrid
295400;Fernando VI;CICLOCALLES; FERNANDO VI;290,83343565200;290.83343565;FERNANDO VI;1;Madrid
91900;Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;277,19216473200;277.19216473;BÁRBARA BRAGANZA;1;Madrid
295400;Fernado VI;CICLOCALLES; FERNADO VI;69,55349268290;69.55349267999999;FERNADO VI;1;Madrid
91900;Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;271,56289930300;271.56289929999997;BÁRBARA BRAGANZA;1;Madrid
609000;Prim;CICLOCALLES; PRIM;269,97870488200;269.97870487999995;PRIM;1;Madrid
81800;Augusto Figueroa;CICLOCALLES; AUGUSTO FIGUEROA;326,15807702100;326.15807702;AUGUSTO FIGUEROA;1;Madrid
656500;Salud;CICLOCALLES; SALUD;217,03230731600;217.03230732;SALUD;1;Madrid
678100;San MartÝn;CICLOCALLES; SAN MARTÍN;134,87476280000;134.87476279999998;SAN MARTÍN;1;Madrid
112100;Bordadores;CICLOCALLES; BORDADORES;142,35791072900;142.35791073000001;BORDADORES;1;Madrid
274000;Esparteros;CICLOCALLES; ESPARTEROS;185,20375611100;185.20375611;ESPARTEROS;1;Madrid
342500;Grafal;CICLOCALLES; GRAFAL;128,13869791600;128.13869792;GRAFAL;1;Madrid
743600;Toledo;CICLOCALLES; TOLEDO;688,23131394500;688.2313139500001;TOLEDO;1;Madrid
743600;Toledo;CICLOCALLES; TOLEDO;692,82339937700;692.8233993800001;TOLEDO;1;Madrid
262000;Embajadores;CICLOCALLES; EMBAJADORES;440,93005567100;440.93005567;EMBAJADORES;1;Madrid
262000;Embajadores;CICLOCALLES; EMBAJADORES;451,58495333800;451.58495333999997;EMBAJADORES;1;Madrid
262000;Embajadores;CICLOCALLES; EMBAJADORES;722,47721250300;722.4772125;EMBAJADORES;1;Madrid
486400;MarquÚs de Riscal;CICLOCALLES; MARQUÉS DE RISCAL;267,80661501500;267.80661502000004;MARQUÉS RISCAL;1;Madrid
139000;Caracas;CICLOCALLES; CARACAS;346,41279707800;346.41279708;CARACAS;1;Madrid
461900;Manuel Cortina;CICLOCALLES; MANUEL CORTINA;228,73377437100;228.73377437;MANUEL CORTINA;1;Madrid
31400;Almagro;CICLOCALLES; ALMAGRO;654,36887478100;654.36887478;ALMAGRO;1;Madrid
31400;Almagro;CICLOCALLES; ALMAGRO;644,07388244600;644.0738824499999;ALMAGRO;1;Madrid
365400;Hortaleza;CICLOCALLES; HORTALEZA;940,96916987500;940.96916988;HORTALEZA;1;Madrid
444200;Luchana;CICLOCALLES; LUCHANA;480,92489184100;480.92489184;LUCHANA;1;Madrid
444200;Luchana;CICLOCALLES; LUCHANA;488,89959646800;488.89959646999995;LUCHANA;1;Madrid
256500;Eduardo Dato;CICLOCALLES; EDUARDO DATO;746,23324291400;746.2332429100001;EDUARDO DATO;1;Madrid
256500;Eduardo Dato;CICLOCALLES; EDUARDO DATO;747,26989954900;747.26989955;EDUARDO DATO;1;Madrid
697175;Sta. MarÝa de la Cabeza;CICLOCALLES; SANTA MARÍA DE LA CABEZA;850,14369508600;850.1436950899999;SANTA MARÍA CABEZA;1;Madrid
234600;Paseo de las Delicias;CICLOCALLES; PASEO DE LAS DELICIAS;693,99411438000;693.99411438;DELICIAS;1;Madrid
45400;Ancora;CICLOCALLES; ANCORA;479,55141192600;479.55141193000003;ANCORA;1;Madrid
501700;Méndez Álvaro;CICLOCALLES; MÉNDEZ ÁLVARO;978,39089387800;978.39089388;MÉNDEZ ÁLVARO;1;Madrid
673100;C¬ de San Jer¾nimo;CICLOCALLES; CALLE DE SAN JERÓNIMO;357,86375828900;357.86375829;SAN JERÓNIMO;1;Madrid
153500;P? Castellana;CICLOCALLES; PLAZA CASTELLANA;1079,94843012000;1079.94843012;CASTELLANA;1;Madrid
153500;P? Castellana;CICLOCALLES; PLAZA CASTELLANA;829,89944693400;829.89944693;CASTELLANA;1;Madrid
27500;Alfonso XII;CICLOCALLES; ALFONSO XII;1337,96928989000;1337.96928989;ALFONSO XII;1;Madrid
27500;Alfonso XII;CICLOCALLES; ALFONSO XII;1352,62459342000;1352.62459342;ALFONSO XII;1;Madrid
171800;Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1181,35506352000;1181.3550635200002;CIUDAD BARCELONA;1;Madrid
171800;Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1273,70795080000;1273.7079508;CIUDAD BARCELONA;1;Madrid
392700;Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;451,02037128200;451.02037128;JESÚS APRENDIZ;1;Madrid
392700;Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;297,26022782000;297.26022782;JESÚS APRENDIZ;1;Madrid
439100;Lira;CICLOCALLES; LIRA;310,11734600000;310.117346;LIRA;1;Madrid
439100;Lira;CICLOCALLES; LIRA;399,99361196600;399.99361197;LIRA;1;Madrid
502300;Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2185,76477451000;2185.76477451;MENÉNDEZ PELAYO;1;Madrid
502300;Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2169,10110617000;2169.1011061699996;MENÉNDEZ PELAYO;1;Madrid
610450;PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1775,12165474000;1775.12165474;PRÍNCIPE VERGARA;1;Madrid
610450;PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1802,28361392000;1802.28361392;PRÍNCIPE VERGARA;1;Madrid
529200;Narvßez;CICLOCALLES; NARVÁEZ;996,07436258500;996.0743625900001;NARVÁEZ;1;Madrid
529200;Narvßez;CICLOCALLES; NARVÁEZ;995,71894839100;995.7189483899999;NARVÁEZ;1;Madrid
206100;Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1066,64871190000;1066.6487119;CONDE PEÑALVER;1;Madrid
206100;Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1069,53785071000;1069.53785071;CONDE PEÑALVER;1;Madrid
405300;Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1586,77976118000;1586.7797611800002;JOSE ORTEGA GASSET;1;Madrid
405300;Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1582,17005478000;1582.1700547799999;JOSE ORTEGA GASSET;1;Madrid
310200;Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1607,68640899000;1607.68640899;FRANCISCO SILVELA;1;Madrid
310200;Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1613,95567824000;1613.95567824;FRANCISCO SILVELA;1;Madrid
241300;Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3054,85107905000;3054.85107905;DOCTOR ESQUERDO;1;Madrid
241300;Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3041,68123908000;3041.68123908;DOCTOR ESQUERDO;1;Madrid
341900;Goya;CICLOCALLES; GOYA;1794,55779169000;1794.55779169;GOYA;1;Madrid
341900;Goya;CICLOCALLES; GOYA;1792,90263043000;1792.90263043;GOYA;1;Madrid
18900;Alcalß;CICLOCALLES; ALCALÁ;1346,26265061000;1346.26265061;ALCALÁ;1;Madrid
18900;Alcalß;CICLOCALLES; ALCALÁ;1370,99166437000;1370.99166437;ALCALÁ;1;Madrid
352700;Guzmßn El Bueno;CICLOCALLES; GUZMÁN EL BUENO;786,98990482800;786.98990483;GUZMÁN BUENO;1;Madrid
343000;Granada;CICLOCALLES; GRANADA;701,76168596300;701.76168596;GRANADA;1;Madrid
81600;Atocha;CICLOCALLES; ATOCHA;315,50262046900;315.50262047;ATOCHA;1;Madrid
81600;Atocha;CICLOCALLES; ATOCHA;670,55119080900;670.55119081;ATOCHA;1;Madrid
768800;Vallehermoso;CICLOCALLES; VALLEHERMOSO;959,46535179500;959.4653518;VALLEHERMOSO;1;Madrid
153500;Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;3464.3268135900003;CASTELLANA;0;Madrid
153500;Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;3426.07134154;CASTELLANA;0;Madrid
610450;PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;0,00000000000;3163.17772325;PRÍNCIPE VERGARA;0;Madrid
710300;Serrano;CICLOCALLES; SERRANO;0,00000000000;829.41748343;SERRANO;0;Madrid
710300;Serrano;CICLOCALLES; SERRANO;0,00000000000;1331.38079977;SERRANO;0;Madrid
395300;Joaquin Costa;CICLOCALLES; JOAQUIN COSTA;0,00000000000;1221.9090593199999;JOAQUIN COSTA;0;Madrid
768800;Vallehermoso;CICLOCALLES; VALLEHERMOSO;0,00000000000;217.80941714;VALLEHERMOSO;0;Madrid
699700;Santander;CICLOCALLES; SANTANDER;0,00000000000;402.19189706000003;SANTANDER;0;Madrid
330200;Gral Iba±ez de Ibero;CICLOCALLES; GENERAL IBAÑEZ DE IBERO;0,00000000000;341.44629439;GENERAL IBAÑEZ IBERO;0;Madrid
352700;Guzman el Bueno;CICLOCALLES; GUZMAN EL BUENO;0,00000000000;822.57319846;GUZMAN BUENO;0;Madrid
114600;Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;2595.89728392;BRAVO MURILLO;0;Madrid
311500;San Bernardino Sahag·n;CICLOCALLES; SAN BERNARDINO SAHAGÚN;0,00000000000;486.13238953999996;SAN BERNARDINO SAHAGÚN;0;Madrid
494900;Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;235.84240332000002;MATEO INURRIA;0;Madrid
494900;Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;1013.1022394;MATEO INURRIA;0;Madrid
599100;PlaterÝas;CICLOCALLES; PLATERÍAS;0,00000000000;185.75863221;PLATERÍAS;0;Madrid
661700;San Bernardo;CICLOCALLES; SAN BERNARDO;0,00000000000;452.49128906000004;SAN BERNARDO;0;Madrid
249300;Donoso Cortés;CICLOCALLES; DONOSO CORTÉS;0,00000000000;1162.66127439;DONOSO CORTÉS;0;Madrid
293500;Fernßndez de los Rios;CICLOCALLES; FERNÁNDEZ DE LOS RIOS;0,00000000000;1191.40461089;FERNÁNDEZ RIOS;0;Madrid
114600;Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;262.2669245;BRAVO MURILLO;0;Madrid
331100;Gral Martinez Campos;CICLOCALLES; GENERAL MARTINEZ CAMPOS;0,00000000000;1276.25039513;GENERAL MARTINEZ CAMPOS;0;Madrid
114600;Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;1189.7699705;BRAVO MURILLO;0;Madrid
694525;Sta Engracia;CICLOCALLES; SANTA ENGRACIA;0,00000000000;1688.80563998;SANTA ENGRACIA;0;Madrid
328400;Gral ?lvarez de Castro;CICLOCALLES; GENERAL ÁLVAREZ DE CASTRO;0,00000000000;369.32395427;GENERAL ÁLVAREZ CASTRO;0;Madrid
512200;Modesto Lafuente;CICLOCALLES; MODESTO LAFUENTE;0,00000000000;1275.79241268;MODESTO LAFUENTE;0;Madrid
34700;Alonso Cano;CICLOCALLES; ALONSO CANO;0,00000000000;1277.94176107;ALONSO CANO;0;Madrid
